Year, Pace (seconds), Total Time (seconds), Total Time (minutes)
2021, 553, 7244, 120.73
2021, 553, 7244, 120.73
2021, 553, 7244, 120.73
2021, 553, 7244, 120.73
2021, 554, 7257, 120.95
2021, 554, 7257, 120.95
2021, 554, 7257, 120.95
2021, 554, 7257, 120.95
2021, 554, 7257, 120.95
2021, 555, 7270, 121.17
2021, 555, 7270, 121.17
2021, 555, 7270, 121.17
2021, 555, 7270, 121.17
2021, 556, 7283, 121.38
2021, 556, 7283, 121.38
2021, 556, 7283, 121.38
2021, 556, 7283, 121.38
2021, 556, 7283, 121.38
2021, 556, 7283, 121.38
2021, 556, 7283, 121.38
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 557, 7296, 121.60
2021, 558, 7309, 121.82
2021, 558, 7309, 121.82
2021, 558, 7309, 121.82
2021, 558, 7309, 121.82
2021, 558, 7309, 121.82
2021, 558, 7309, 121.82
2021, 559, 7322, 122.03
2021, 559, 7322, 122.03
2021, 559, 7322, 122.03
2021, 559, 7322, 122.03
2021, 559, 7322, 122.03
2021, 560, 7336, 122.27
2021, 560, 7336, 122.27
2021, 560, 7336, 122.27
2021, 561, 7349, 122.48
2021, 561, 7349, 122.48
2021, 561, 7349, 122.48
2021, 561, 7349, 122.48
2021, 561, 7349, 122.48
2021, 562, 7362, 122.70
2021, 562, 7362, 122.70
2021, 562, 7362, 122.70
2021, 563, 7375, 122.92
2021, 563, 7375, 122.92
2021, 563, 7375, 122.92
2021, 564, 7388, 123.13
2021, 564, 7388, 123.13
2021, 565, 7401, 123.35
2021, 565, 7401, 123.35
2021, 565, 7401, 123.35
2021, 565, 7401, 123.35
2021, 566, 7414, 123.57
2021, 566, 7414, 123.57
2021, 566, 7414, 123.57
2021, 566, 7414, 123.57
2021, 566, 7414, 123.57
2021, 566, 7414, 123.57
2021, 566, 7414, 123.57
2021, 567, 7427, 123.78
2021, 567, 7427, 123.78
2021, 567, 7427, 123.78
2021, 567, 7427, 123.78
2021, 567, 7427, 123.78
2021, 568, 7440, 124.00
2021, 568, 7440, 124.00
2021, 568, 7440, 124.00
2021, 568, 7440, 124.00
2021, 568, 7440, 124.00
2021, 569, 7453, 124.22
2021, 569, 7453, 124.22
2021, 569, 7453, 124.22
2021, 569, 7453, 124.22
2021, 570, 7467, 124.45
2021, 570, 7467, 124.45
2021, 570, 7467, 124.45
2021, 570, 7467, 124.45
2021, 570, 7467, 124.45
2021, 570, 7467, 124.45
2021, 570, 7467, 124.45
2021, 571, 7480, 124.67
2021, 571, 7480, 124.67
2021, 571, 7480, 124.67
2021, 571, 7480, 124.67
2021, 571, 7480, 124.67
2021, 572, 7493, 124.88
2021, 572, 7493, 124.88
2021, 572, 7493, 124.88
2021, 572, 7493, 124.88
2021, 572, 7493, 124.88
2021, 572, 7493, 124.88
2021, 572, 7493, 124.88
2021, 572, 7493, 124.88
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 573, 7506, 125.10
2021, 574, 7519, 125.32
2021, 574, 7519, 125.32
2021, 574, 7519, 125.32
2021, 574, 7519, 125.32
2021, 574, 7519, 125.32
2021, 574, 7519, 125.32
2021, 574, 7519, 125.32
2021, 574, 7519, 125.32
2021, 575, 7532, 125.53
2021, 575, 7532, 125.53
2021, 575, 7532, 125.53
2021, 576, 7545, 125.75
2021, 576, 7545, 125.75
2021, 576, 7545, 125.75
2021, 576, 7545, 125.75
2021, 576, 7545, 125.75
2021, 576, 7545, 125.75
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 577, 7558, 125.97
2021, 578, 7571, 126.18
2021, 578, 7571, 126.18
2021, 578, 7571, 126.18
2021, 578, 7571, 126.18
2021, 578, 7571, 126.18
2021, 578, 7571, 126.18
2021, 578, 7571, 126.18
2021, 579, 7584, 126.40
2021, 579, 7584, 126.40
2021, 579, 7584, 126.40
2021, 579, 7584, 126.40
2021, 579, 7584, 126.40
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 580, 7598, 126.63
2021, 581, 7611, 126.85
2021, 581, 7611, 126.85
2021, 581, 7611, 126.85
2021, 581, 7611, 126.85
2021, 581, 7611, 126.85
2021, 582, 7624, 127.07
2021, 582, 7624, 127.07
2021, 582, 7624, 127.07
2021, 582, 7624, 127.07
2021, 582, 7624, 127.07
2021, 582, 7624, 127.07
2021, 582, 7624, 127.07
2021, 583, 7637, 127.28
2021, 583, 7637, 127.28
2021, 583, 7637, 127.28
2021, 583, 7637, 127.28
2021, 584, 7650, 127.50
2021, 584, 7650, 127.50
2021, 584, 7650, 127.50
2021, 584, 7650, 127.50
2021, 584, 7650, 127.50
2021, 585, 7663, 127.72
2021, 585, 7663, 127.72
2021, 585, 7663, 127.72
2021, 585, 7663, 127.72
2021, 585, 7663, 127.72
2021, 585, 7663, 127.72
2021, 585, 7663, 127.72
2021, 586, 7676, 127.93
2021, 586, 7676, 127.93
2021, 586, 7676, 127.93
2021, 586, 7676, 127.93
2021, 586, 7676, 127.93
2021, 586, 7676, 127.93
2021, 586, 7676, 127.93
2021, 587, 7689, 128.15
2021, 587, 7689, 128.15
2021, 587, 7689, 128.15
2021, 587, 7689, 128.15
2021, 587, 7689, 128.15
2021, 587, 7689, 128.15
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 588, 7702, 128.37
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 589, 7715, 128.58
2021, 590, 7729, 128.82
2021, 590, 7729, 128.82
2021, 590, 7729, 128.82
2021, 590, 7729, 128.82
2021, 590, 7729, 128.82
2021, 591, 7742, 129.03
2021, 591, 7742, 129.03
2021, 591, 7742, 129.03
2021, 591, 7742, 129.03
2021, 591, 7742, 129.03
2021, 592, 7755, 129.25
2021, 592, 7755, 129.25
2021, 592, 7755, 129.25
2021, 592, 7755, 129.25
2021, 592, 7755, 129.25
2021, 592, 7755, 129.25
2021, 593, 7768, 129.47
2021, 593, 7768, 129.47
2021, 593, 7768, 129.47
2021, 593, 7768, 129.47
2021, 593, 7768, 129.47
2021, 594, 7781, 129.68
2021, 594, 7781, 129.68
2021, 594, 7781, 129.68
2021, 595, 7794, 129.90
2021, 595, 7794, 129.90
2021, 595, 7794, 129.90
2021, 595, 7794, 129.90
2021, 595, 7794, 129.90
2021, 595, 7794, 129.90
2021, 596, 7807, 130.12
2021, 596, 7807, 130.12
2021, 596, 7807, 130.12
2021, 596, 7807, 130.12
2021, 597, 7820, 130.33
2021, 597, 7820, 130.33
2021, 597, 7820, 130.33
2021, 597, 7820, 130.33
2021, 597, 7820, 130.33
2021, 597, 7820, 130.33
2021, 598, 7833, 130.55
2021, 598, 7833, 130.55
2021, 598, 7833, 130.55
2021, 598, 7833, 130.55
2021, 598, 7833, 130.55
